,name,type,date
203,Lailatul Isra Wal Mi Raj,Common local holiday,2019-04-03
204,The Day of Valor,Regular Holiday,2019-04-09
205,Maundy Thursday,Regular Holiday,2019-04-18
206,Good Friday,Regular Holiday,2019-04-19
207,Black Saturday,Special Non-working Holiday,2019-04-20
208,Black Saturday,Special Non-working Holiday,2019-04-20
209,Easter Sunday,Observance,2019-04-21
210,Labor Day,Regular Holiday,2019-05-01
211,Special Non-Working Day,Special Non-working Holiday,2019-05-13
212,Eidul-Fitar,Regular Holiday,2019-06-05
213,Independence Day,Regular Holiday,2019-06-12
214,June Solstice,Season,2019-06-21
215,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2019-08-12
216,Eid al-Adha Day 2,Common local holiday,2019-08-13
217,Ninoy Aquino Day,Special Non-working Holiday,2019-08-21
218,National Heroes Day,Regular Holiday,2019-08-26
219,Amun Jadid,"Muslim, Common local holiday",2019-08-31
220,Yamashita Surrender Day,Special Working Day,2019-09-03
221,Feast of the Nativity of Mary,Special Working Day,2019-09-08
222,September Equinox,Season,2019-09-23
223,All Saints' Day,Special Non-working Holiday,2019-11-01
224,All Souls' Day,Special Non-working Holiday,2019-11-02
225,Additional Special Non-Working Day,Special Non-working Holiday,2019-11-02
226,Maulid un-Nabi,Common local holiday,2019-11-09
227,Bonifacio Day,Regular Holiday,2019-11-30
228,Feast of the Immaculate Conception,Special Non-working Holiday,2019-12-08
229,December Solstice,Season,2019-12-22
230,Christmas Eve,Special Non-working Holiday,2019-12-24
231,Additional Special Non-Working Day,Special Non-working Holiday,2019-12-24
232,Christmas Day,Regular Holiday,2019-12-25
233,Rizal Day,Regular Holiday,2019-12-30
234,New Year's Eve,Special Non-working Holiday,2019-12-31
235,New Year's Day,Regular Holiday,2020-01-01
236,First Philippine Republic Day,Special Working Day,2020-01-23
237,Lunar New Year's Day,Special Non-working Holiday,2020-01-25
238,People Power Anniversary,Special Non-working Holiday,2020-02-25
239,March Equinox,Season,2020-03-20
240,Lailatul Isra Wal Mi Raj,Common local holiday,2020-03-22
241,Maundy Thursday,Regular Holiday,2020-04-09
242,The Day of Valor,Regular Holiday,2020-04-09
243,Good Friday,Regular Holiday,2020-04-10
244,Black Saturday,Special Non-working Holiday,2020-04-11
245,Black Saturday,Special Non-working Holiday,2020-04-11
