,name,type,date
200,Lunar New Year's Day,Special Non-working Holiday,05/02/2019
201,People Power Anniversary,Special Non-working Holiday,25/02/2019
202,March Equinox,Season,21/03/2019
203,Lailatul Isra Wal Mi Raj,Common local holiday,03/04/2019
204,The Day of Valor,Regular Holiday,09/04/2019
205,Maundy Thursday,Regular Holiday,18/04/2019
206,Good Friday,Regular Holiday,19/04/2019
207,Black Saturday,Special Non-working Holiday,20/04/2019
208,Black Saturday,Special Non-working Holiday,20/04/2019
209,Easter Sunday,Observance,21/04/2019
210,Labor Day,Regular Holiday,01/05/2019
211,Special Non-Working Day,Special Non-working Holiday,13/05/2019
212,Eidul-Fitar,Regular Holiday,05/06/2019
213,Independence Day,Regular Holiday,12/06/2019
214,June Solstice,Season,21/06/2019
215,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,12/08/2019
216,Eid al-Adha Day 2,Common local holiday,13/08/2019
217,Ninoy Aquino Day,Special Non-working Holiday,21/08/2019
218,National Heroes Day,Regular Holiday,26/08/2019
219,Amun Jadid,"Muslim, Common local holiday",31/08/2019
220,Yamashita Surrender Day,Special Working Day,03/09/2019
221,Feast of the Nativity of Mary,Special Working Day,08/09/2019
222,September Equinox,Season,23/09/2019
223,All Saints' Day,Special Non-working Holiday,01/11/2019
224,All Souls' Day,Special Non-working Holiday,02/11/2019
225,Additional Special Non-Working Day,Special Non-working Holiday,02/11/2019
226,Maulid un-Nabi,Common local holiday,09/11/2019
227,Bonifacio Day,Regular Holiday,30/11/2019
228,Feast of the Immaculate Conception,Special Non-working Holiday,08/12/2019
229,December Solstice,Season,22/12/2019
230,Christmas Eve,Special Non-working Holiday,24/12/2019
231,Additional Special Non-Working Day,Special Non-working Holiday,24/12/2019
232,Christmas Day,Regular Holiday,25/12/2019
233,Rizal Day,Regular Holiday,30/12/2019
234,New Year's Eve,Special Non-working Holiday,31/12/2019
235,New Year's Day,Regular Holiday,01/01/2020
236,First Philippine Republic Day,Special Working Day,23/01/2020
237,Lunar New Year's Day,Special Non-working Holiday,25/01/2020
238,People Power Anniversary,Special Non-working Holiday,25/02/2020
239,March Equinox,Season,20/03/2020
240,Lailatul Isra Wal Mi Raj,Common local holiday,22/03/2020
